country,account_ownership_pct,account_ownership_female_pct,bank_branches_per_100k,gdp_per_capita_usd,gini_index,labor_force_participation_pct
IBRD only,,,12.3204976619762,8219.91265703844,,60.1404894140501
IDA & IBRD total,,,10.0143470850075,6327.1439970487,,60.8490294069353
IDA blend,,,5.48129792567132,1650.63788113049,,65.6420310852338
IDA only,,,3.57806245871854,1398.11181264033,,61.7661065507447
IDA total,,,4.36487210382441,1485.92227405633,,63.1488479547822
Iceland,99.8548358099717,99.7045440269947,23.3251021639475,86040.5309851288,26.8,74.926
India,89.0248224502547,89.2482328079147,14.466937792202,2694.73780859961,25.5,55.658
Indonesia,56.3278493718021,58.0308451514518,11.6947628615698,4925.43048751861,34.4,67.965
"Iran, Islamic Rep.",91.0610044635676,86.7880629225257,31.0918089092374,5190.16959024821,35.9,40.965
Iraq,30.1610517779513,18.8101424848699,3.20150317061024,6073.61032342708,29.8,41.533
Ireland,98.2929182250875,96.9297997806724,13.3881373826628,112894.953240805,29.0,64.844
Isle of Man,,,,88328.548125887,,
Israel,89.2691974119826,88.0997205658934,14.1668041624233,54176.6844383302,38.3,65.489
Italy,86.0191093278992,79.7946783289735,31.5467734217542,40385.3413957669,34.3,49.302
Jamaica,73.3003615105011,71.5532326995049,6.67655264988861,7753.8006955432,39.9,69.566
Japan,98.5235592091779,98.723135316154,33.6741249850605,32487.0778047567,32.3,63.448
Jordan,46.4573138115455,36.2234645848992,12.2464385206251,4618.09592498567,33.7,40.052
Kazakhstan,87.0486447464415,85.7420594770372,12.4484039740407,14154.6324958076,29.2,67.77
Kenya,90.1199173733613,86.5155344015748,4.48081672742654,2132.43452097647,38.5,67.385
Kiribati,,,5.73904559671727,2288.63471423684,24.7,
"Korea, Dem. People's Rep.",,,,,,82.152
"Korea, Rep.",96.8949448884961,97.1396146066269,12.7378203007916,36238.639908315,32.9,64.351
Kosovo,64.1617721717113,59.7945017831686,16.2812481620838,7023.06598512878,38.3,
Kuwait,74.4578561430281,71.4890462652269,12.345245090877,32717.7186631255,,73.365
Kyrgyz Republic,72.2642375946654,71.235055996936,7.35238479852644,2420.18542283831,27.5,57.366
Lao PDR,37.6501969468659,43.5865025443192,3.06518077635758,2123.97909415109,34.7,66.087
